"","X","rank","player","points","date","year","month","right_hand","age","birthdate","first_name","last_name","countries","countries_iso","continent","obs.by.player","rank_log","obs.by.age","average.rank.by.age","age_28","age_2.8","age_28sq","age_2.8sq","average.rank.by.player","predicted.rank.final.model"
"31",173,227,101723,149,"7/7/2003",2003,7,1,33,"3/25/1970","Magnus","Larsson","SWE","SWE","EU",5,2.35602585719312,428,2.68458119667634,5,0.5,25,0.25,2.27593854186727,2.46160013755073
"32",174,669,101723,21,"2/9/2004",2004,2,1,34,"3/25/1970","Magnus","Larsson","SWE","SWE","EU",5,2.82542611776782,293,2.71013733597808,6,0.6,36,0.36,2.27593854186727,2.69749160235143
"33",190,1,101736,5045,"2/28/2000",2000,2,1,30,"4/29/1970","Andre","Agassi","USA","USA","NoA",8,0,989,2.64767086582772,2,0.2,4,0.04,0.840040755059442,0.239679187465368
"34",191,3,101736,3795,"7/16/2001",2001,7,1,31,"4/29/1970","Andre","Agassi","USA","USA","NoA",8,0.477121254719662,757,2.63472150560954,3,0.3,9,0.09,0.840040755059442,0.336437817962557
"35",192,4,101736,2725,"6/17/2002",2002,6,1,32,"4/29/1970","Andre","Agassi","USA","USA","NoA",8,0.602059991327962,564,2.65066108042934,4,0.4,16,0.16,0.840040755059442,0.476172780968118
"36",193,2,101736,4495,"2/24/2003",2003,2,1,33,"4/29/1970","Andre","Agassi","USA","USA","NoA",8,0.301029995663981,428,2.68458119667634,5,0.5,25,0.25,0.840040755059442,0.658884076482048
"37",194,7,101736,2140,"9/13/2004",2004,9,1,34,"4/29/1970","Andre","Agassi","USA","USA","NoA",8,0.845098040014257,293,2.71013733597808,6,0.6,36,0.36,0.840040755059442,0.88457170450435
"38",195,7,101736,2275,"12/5/2005",2005,12,1,35,"4/29/1970","Andre","Agassi","USA","USA","NoA",8,0.845098040014257,205,2.75319183451524,7,0.7,49,0.49,0.840040755059442,1.15323566503502
"39",196,22,101736,1270,"7/31/2006",2006,7,1,36,"4/29/1970","Andre","Agassi","USA","USA","NoA",8,1.34242268082221,129,2.76286169712753,8,0.8,64,0.64,0.840040755059442,1.46487595807407
"40",197,203,101736,195,"7/2/2007",2007,7,1,37,"4/29/1970","Andre","Agassi","USA","USA","NoA",8,2.30749603791321,82,2.80268707994552,9,0.9,81,0.81,0.840040755059442,1.81949258362148
"41",198,327,101746,91,"10/9/2000",2000,10,1,30,"5/17/1970","Renzo","Furlan","ITA","ITA","EU",6,2.51454775266029,989,2.64767086582772,2,0.2,4,0.04,2.55367465410957,2.20810438662645
"42",199,191,101746,199,"12/3/2001",2001,12,1,31,"5/17/1970","Renzo","Furlan","ITA","ITA","EU",6,2.28103336724773,757,2.63472150560954,3,0.3,9,0.09,2.55367465410957,2.31261908011075
"43",200,183,101746,207,"3/11/2002",2002,3,1,32,"5/17/1970","Renzo","Furlan","ITA","ITA","EU",6,2.26245108973043,564,2.65066108042934,4,0.4,16,0.16,2.55367465410957,2.44212084358322
"44",201,180,101746,203,"10/27/2003",2003,10,1,33,"5/17/1970","Renzo","Furlan","ITA","ITA","EU",6,2.25527250510331,428,2.68458119667634,5,0.5,25,0.25,2.55367465410957,2.59660967704386
"45",202,696,101746,20,"7/5/2004",2004,7,1,34,"5/17/1970","Renzo","Furlan","ITA","ITA","EU",6,2.84260923961056,293,2.71013733597808,6,0.6,36,0.36,2.55367465410957,2.77608558049268
"46",203,1466,101746,1,"2/14/2005",2005,2,1,35,"5/17/1970","Renzo","Furlan","ITA","ITA","EU",6,3.16613397030511,205,2.75319183451524,7,0.7,49,0.49,2.55367465410957,2.98054855392968
"47",204,164,101750,223,"4/24/2000",2000,4,1,30,"5/24/1970","Cristiano","Caratti","ITA","ITA","EU",5,2.2148438480477,989,2.64767086582772,2,0.2,4,0.04,2.38151789870976,2.15792892433439
"48",205,191,101750,203,"5/7/2001",2001,5,1,31,"5/24/1970","Cristiano","Caratti","ITA","ITA","EU",5,2.28103336724773,757,2.63472150560954,3,0.3,9,0.09,2.38151789870976,2.24702852065028
"49",206,202,101750,180,"4/15/2002",2002,4,1,32,"5/24/1970","Cristiano","Caratti","ITA","ITA","EU",5,2.30535136944662,564,2.65066108042934,4,0.4,16,0.16,2.38151789870976,2.35931757584572
"50",207,250,101750,125,"7/14/2003",2003,7,1,33,"5/24/1970","Cristiano","Caratti","ITA","ITA","EU",5,2.39794000867204,428,2.68458119667634,5,0.5,25,0.25,2.38151789870976,2.49479608992073
"51",208,511,101750,44,"4/5/2004",2004,4,1,34,"5/24/1970","Cristiano","Caratti","ITA","ITA","EU",5,2.70842090013471,293,2.71013733597808,6,0.6,36,0.36,2.38151789870976,2.65346406287529
"52",212,220,101772,157,"4/17/2000",2000,4,1,30,"7/4/1970","Andrei","Cherkasov","RUS","RUS","EU",6,2.34242268082221,989,2.64767086582772,2,0.2,4,0.04,2.61205280384672,2.35250100744308
"53",213,248,101772,141,"2/19/2001",2001,2,1,31,"7/4/1970","Andrei","Cherkasov","RUS","RUS","EU",6,2.39445168082622,757,2.63472150560954,3,0.3,9,0.09,2.61205280384672,2.42833358489917
"54",214,485,101772,42,"10/21/2002",2002,10,1,32,"7/4/1970","Andrei","Cherkasov","RUS","RUS","EU",6,2.68574173860226,564,2.65066108042934,4,0.4,16,0.16,2.61205280384672,2.5237072237143
"55",215,484,101772,43,"5/12/2003",2003,5,1,33,"7/4/1970","Andrei","Cherkasov","RUS","RUS","EU",6,2.68484536164441,428,2.68458119667634,5,0.5,25,0.25,2.61205280384672,2.63862192388845
"56",216,536,101772,39,"5/24/2004",2004,5,1,34,"7/4/1970","Andrei","Cherkasov","RUS","RUS","EU",6,2.72916478969277,293,2.71013733597808,6,0.6,36,0.36,2.61205280384672,2.77307768542164
"57",217,685,101772,23,"5/23/2005",2005,5,1,35,"7/4/1970","Andrei","Cherkasov","RUS","RUS","EU",6,2.83569057149243,205,2.75319183451524,7,0.7,49,0.49,2.61205280384672,2.92707450831385
"58",218,23,101774,1141,"5/1/2000",2000,5,1,30,"7/8/1970","Todd","Martin","USA","USA","NoA",6,1.36172783601759,989,2.64767086582772,2,0.2,4,0.04,1.74929819667971,1.49461555356034
"59",219,36,101774,945,"3/19/2001",2001,3,1,31,"7/8/1970","Todd","Martin","USA","USA","NoA",6,1.55630250076729,757,2.63472150560954,3,0.3,9,0.09,1.74929819667971,1.56715334338044
"60",220,47,101774,755,"12/16/2002",2002,12,1,32,"7/8/1970","Todd","Martin","USA","USA","NoA",6,1.67209785793572,564,2.65066108042934,4,0.4,16,0.16,1.74929819667971,1.66725824837525
"61",221,74,101774,560,"3/3/2003",2003,3,1,33,"7/8/1970","Todd","Martin","USA","USA","NoA",6,1.86923171973098,428,2.68458119667634,5,0.5,25,0.25,1.74929819667971,1.79493026854477
"62",222,75,101774,519,"7/12/2004",2004,7,1,34,"7/8/1970","Todd","Martin","USA","USA","NoA",6,1.8750612633917,293,2.71013733597808,6,0.6,36,0.36,1.74929819667971,1.950169403889
"63",223,145,101774,303,"1/3/2005",2005,1,1,35,"7/8/1970","Todd","Martin","USA","USA","NoA",6,2.16136800223497,205,2.75319183451524,7,0.7,49,0.49,1.74929819667971,2.13297565440794
"64",242,320,101806,93,"1/17/2000",2000,1,1,30,"9/22/1970","Marc Kevin","Goellner","GER","DEU","EU",7,2.50514997831991,989,2.64767086582772,2,0.2,4,0.04,2.61257369626085,2.27517557237235
"65",243,172,101806,228,"6/4/2001",2001,6,1,31,"9/22/1970","Marc Kevin","Goellner","GER","DEU","EU",7,2.23552844690755,757,2.63472150560954,3,0.3,9,0.09,2.61257369626085,2.35210388402796
"66",244,238,101806,146,"7/8/2002",2002,7,1,32,"9/22/1970","Marc Kevin","Goellner","GER","DEU","EU",7,2.37657695705651,564,2.65066108042934,4,0.4,16,0.16,2.61257369626085,2.44968845552552
"67",245,439,101806,52,"5/5/2003",2003,5,1,33,"9/22/1970","Marc Kevin","Goellner","GER","DEU","EU",7,2.64246452024212,428,2.68458119667634,5,0.5,25,0.25,2.61257369626085,2.56792928686502
"68",246,328,101806,95,"6/28/2004",2004,6,1,34,"9/22/1970","Marc Kevin","Goellner","GER","DEU","EU",7,2.51587384371168,293,2.71013733597808,6,0.6,36,0.36,2.61257369626085,2.70682637804648
"69",247,878,101806,11,"7/18/2005",2005,7,1,35,"9/22/1970","Marc Kevin","Goellner","GER","DEU","EU",7,2.9434945159061,205,2.75319183451524,7,0.7,49,0.49,2.61257369626085,2.86637972906987
"70",248,1172,101806,4,"3/27/2006",2006,3,1,36,"9/22/1970","Marc Kevin","Goellner","GER","DEU","EU",7,3.06892761168207,129,2.76286169712753,8,0.8,64,0.64,2.61257369626085,3.04658933993522
"71",249,34,101820,975,"10/2/2000",2000,10,1,30,"11/7/1970","Marc","Rosset","SUI","CHE","EU",7,1.53147891704226,989,2.64767086582772,2,0.2,4,0.04,2.17693744162831,1.66634234081696
"72",250,77,101820,575,"6/18/2001",2001,6,1,31,"11/7/1970","Marc","Rosset","SUI","CHE","EU",7,1.88649072517248,757,2.63472150560954,3,0.3,9,0.09,2.17693744162831,1.7879007993874
"73",251,112,101820,360,"4/29/2002",2002,4,1,32,"11/7/1970","Marc","Rosset","SUI","CHE","EU",7,2.04921802267018,564,2.65066108042934,4,0.4,16,0.16,2.17693744162831,1.9414587654012
"74",252,116,101820,328,"4/28/2003",2003,4,1,33,"11/7/1970","Marc","Rosset","SUI","CHE","EU",7,2.06445798922692,428,2.68458119667634,5,0.5,25,0.25,2.17693744162831,2.12701623885836
"75",253,122,101820,326,"2/23/2004",2004,2,1,34,"11/7/1970","Marc","Rosset","SUI","CHE","EU",7,2.08635983067475,293,2.71013733597808,6,0.6,36,0.36,2.17693744162831,2.3445732197589
"76",254,299,101820,119,"7/4/2005",2005,7,1,35,"11/7/1970","Marc","Rosset","SUI","CHE","EU",7,2.47567118832443,205,2.75319183451524,7,0.7,49,0.49,2.17693744162831,2.5941297081028
"77",255,1396,101820,2,"1/30/2006",2006,1,1,36,"11/7/1970","Marc","Rosset","SUI","CHE","EU",7,3.14488541828714,129,2.76286169712753,8,0.8,64,0.64,2.17693744162831,2.87568570389007
"78",300,391,101868,64,"9/25/2000",2000,9,0,29,"3/1/1971","Dick","Norman","BEL","BEL","EU",12,2.59217675739587,1256,2.65461906279284,1,0.1,1,0.01,2.33420791555206,2.13370139276856
"79",301,159,101868,254,"4/16/2001",2001,4,0,30,"3/1/1971","Dick","Norman","BEL","BEL","EU",12,2.20139712432045,989,2.64767086582772,2,0.2,4,0.04,2.33420791555206,2.12184258018807
"80",302,122,101868,329,"3/18/2002",2002,3,0,31,"3/1/1971","Dick","Norman","BEL","BEL","EU",12,2.08635983067475,757,2.63472150560954,3,0.3,9,0.09,2.33420791555206,2.12412548339253
"81",303,119,101868,320,"3/17/2003",2003,3,0,32,"3/1/1971","Dick","Norman","BEL","BEL","EU",12,2.07554696139253,564,2.65066108042934,4,0.4,16,0.16,2.33420791555206,2.14055010238195
"82",304,153,101868,269,"6/28/2004",2004,6,0,33,"3/1/1971","Dick","Norman","BEL","BEL","EU",12,2.1846914308176,428,2.68458119667634,5,0.5,25,0.25,2.33420791555206,2.17111643715633
"83",305,118,101868,367,"6/6/2005",2005,6,0,34,"3/1/1971","Dick","Norman","BEL","BEL","EU",12,2.07188200730613,293,2.71013733597808,6,0.6,36,0.36,2.33420791555206,2.21582448771566
"84",306,110,101868,396,"6/5/2006",2006,6,0,35,"3/1/1971","Dick","Norman","BEL","BEL","EU",12,2.04139268515822,205,2.75319183451524,7,0.7,49,0.49,2.33420791555206,2.27467425405995
"85",307,133,101868,322,"8/6/2007",2007,8,0,36,"3/1/1971","Dick","Norman","BEL","BEL","EU",12,2.12385164096709,129,2.76286169712753,8,0.8,64,0.64,2.33420791555206,2.34766573618919
"86",308,228,101868,170,"4/21/2008",2008,4,0,37,"3/1/1971","Dick","Norman","BEL","BEL","EU",12,2.35793484700045,82,2.80268707994552,9,0.9,81,0.81,2.33420791555206,2.43479893410339
"87",309,310,101868,230,"1/26/2009",2009,1,0,38,"3/1/1971","Dick","Norman","BEL","BEL","EU",12,2.49136169383427,46,2.8876776209483,10,1,100,1,2.33420791555206,2.53607384780254
"88",310,687,101868,24,"7/12/2010",2010,7,0,39,"3/1/1971","Dick","Norman","BEL","BEL","EU",12,2.83695673705955,26,2.95604750677089,11,1.1,121,1.21,2.33420791555206,2.65149047728666
"89",311,885,101868,10,"1/17/2011",2011,1,0,40,"3/1/1971","Dick","Norman","BEL","BEL","EU",12,2.94694327069783,22,3.0408473034543,12,1.2,144,1.44,2.33420791555206,2.78104882255572
"90",333,102,101885,381,"5/1/2000",2000,5,0,29,"3/18/1971","Wayne","Arthurs","AUS","AUS","OC",9,2.00860017176192,1256,2.65461906279284,1,0.1,1,0.01,2.07671845552816,1.8705126593003
"91",334,69,101885,583,"1/29/2001",2001,1,0,30,"3/18/1971","Wayne","Arthurs","AUS","AUS","OC",9,1.83884909073726,989,2.64767086582772,2,0.2,4,0.04,2.07671845552816,1.88197376202724
"92",335,76,101885,518,"1/7/2002",2002,1,0,31,"3/18/1971","Wayne","Arthurs","AUS","AUS","OC",9,1.88081359228079,757,2.63472150560954,3,0.3,9,0.09,2.07671845552816,1.91122542467509
"93",336,88,101885,445,"8/4/2003",2003,8,0,32,"3/18/1971","Wayne","Arthurs","AUS","AUS","OC",9,1.94448267215017,564,2.65066108042934,4,0.4,16,0.16,2.07671845552816,1.95826764724384
"94",337,100,101885,413,"9/27/2004",2004,9,0,33,"3/18/1971","Wayne","Arthurs","AUS","AUS","OC",9,2,428,2.68458119667634,5,0.5,25,0.25,2.07671845552816,2.0231004297335
"95",338,97,101885,430,"10/10/2005",2005,10,0,34,"3/18/1971","Wayne","Arthurs","AUS","AUS","OC",9,1.98677173426624,293,2.71013733597808,6,0.6,36,0.36,2.07671845552816,2.10572377214406
"96",339,171,101885,238,"8/21/2006",2006,8,0,35,"3/18/1971","Wayne","Arthurs","AUS","AUS","OC",9,2.23299611039215,205,2.75319183451524,7,0.7,49,0.49,2.07671845552816,2.20613767447553
"97",340,173,101885,244,"8/6/2007",2007,8,0,36,"3/18/1971","Wayne","Arthurs","AUS","AUS","OC",9,2.2380461031288,129,2.76286169712753,8,0.8,64,0.64,2.07671845552816,2.3243421367279
"98",341,363,101885,90,"3/17/2008",2008,3,0,37,"3/18/1971","Wayne","Arthurs","AUS","AUS","OC",9,2.55990662503611,82,2.80268707994552,9,0.9,81,0.81,2.07671845552816,2.46033715890118
"99",355,99,101897,409,"11/6/2000",2000,11,0,29,"4/12/1971","Fernando","Meligeni","BRA","BRA","SA",5,1.99563519459755,1256,2.65461906279284,1,0.1,1,0.01,2.05473864381523,1.86514137936118
"100",356,89,101897,480,"8/13/2001",2001,8,0,30,"4/12/1971","Fernando","Meligeni","BRA","BRA","SA",5,1.94939000664491,989,2.64767086582772,2,0.2,4,0.04,2.05473864381523,1.93751401687477
"101",357,65,101897,637,"7/8/2002",2002,7,0,31,"4/12/1971","Fernando","Meligeni","BRA","BRA","SA",5,1.81291335664286,757,2.63472150560954,3,0.3,9,0.09,2.05473864381523,2.03741674728154
"102",358,121,101897,307,"8/4/2003",2003,8,0,32,"4/12/1971","Fernando","Meligeni","BRA","BRA","SA",5,2.08278537031645,564,2.65066108042934,4,0.4,16,0.16,2.05473864381523,2.16484957058149
"103",359,271,101897,126,"3/1/2004",2004,3,0,33,"4/12/1971","Fernando","Meligeni","BRA","BRA","SA",5,2.43296929087441,428,2.68458119667634,5,0.5,25,0.25,2.05473864381523,2.31981248677462
"104",372,196,101924,179,"1/24/2000",2000,1,1,29,"6/13/1971","Stefano","Pescosolido","ITA","ITA","EU",8,2.29225607135648,1256,2.65461906279284,1,0.1,1,0.01,2.61162468869941,2.25228452966253
"105",373,509,101924,40,"9/17/2001",2001,9,1,30,"6/13/1971","Stefano","Pescosolido","ITA","ITA","EU",8,2.70671778233676,989,2.64767086582772,2,0.2,4,0.04,2.61162468869941,2.31118308682851
"106",374,286,101924,101,"11/4/2002",2002,11,1,31,"6/13/1971","Stefano","Pescosolido","ITA","ITA","EU",8,2.45636603312904,757,2.63472150560954,3,0.3,9,0.09,2.61162468869941,2.39123185587512
"107",375,173,101924,204,"6/9/2003",2003,6,1,32,"6/13/1971","Stefano","Pescosolido","ITA","ITA","EU",8,2.2380461031288,564,2.65066108042934,4,0.4,16,0.16,2.61162468869941,2.49243083680237
"108",376,155,101924,258,"7/5/2004",2004,7,1,33,"6/13/1971","Stefano","Pescosolido","ITA","ITA","EU",8,2.19033169817029,428,2.68458119667634,5,0.5,25,0.25,2.61162468869941,2.61478002961025
"109",377,435,101924,61,"5/23/2005",2005,5,1,34,"6/13/1971","Stefano","Pescosolido","ITA","ITA","EU",8,2.63848925695464,293,2.71013733597808,6,0.6,36,0.36,2.61162468869941,2.75827943429876
"110",378,1540,101924,1,"11/6/2006",2006,11,1,35,"6/13/1971","Stefano","Pescosolido","ITA","ITA","EU",8,3.18752072083646,205,2.75319183451524,7,0.7,49,0.49,2.61162468869941,2.9229290508679
"111",379,1525,101924,1,"3/12/2007",2007,3,1,36,"6/13/1971","Stefano","Pescosolido","ITA","ITA","EU",8,3.1832698436828,129,2.76286169712753,8,0.8,64,0.64,2.61162468869941,3.10872887931768
"112",407,174,101947,209,"8/7/2000",2000,8,0,29,"8/11/1971","Vincenzo","Santopadre","ITA","ITA","EU",7,2.2405492482826,1256,2.65461906279284,1,0.1,1,0.01,2.55688539072405,2.18609650740981
"113",408,184,101947,218,"4/9/2001",2001,4,0,30,"8/11/1971","Vincenzo","Santopadre","ITA","ITA","EU",7,2.26481782300954,989,2.64767086582772,2,0.2,4,0.04,2.55688539072405,2.26822983177815
"114",409,357,101947,81,"7/8/2002",2002,7,0,31,"8/11/1971","Vincenzo","Santopadre","ITA","ITA","EU",7,2.55266821611219,757,2.63472150560954,3,0.3,9,0.09,2.55688539072405,2.37492999170614
"115",410,286,101947,101,"5/5/2003",2003,5,0,32,"8/11/1971","Vincenzo","Santopadre","ITA","ITA","EU",7,2.45636603312904,564,2.65066108042934,4,0.4,16,0.16,2.55688539072405,2.50619698719381
"116",411,184,101947,211,"7/5/2004",2004,7,0,33,"8/11/1971","Vincenzo","Santopadre","ITA","ITA","EU",7,2.26481782300954,428,2.68458119667634,5,0.5,25,0.25,2.55688539072405,2.66203081824113
"117",412,980,101947,8,"7/4/2005",2005,7,0,34,"8/11/1971","Vincenzo","Santopadre","ITA","ITA","EU",7,2.99122607569249,293,2.71013733597808,6,0.6,36,0.36,2.55688539072405,2.84243148484812
"118",413,1342,101947,2,"1/9/2006",2006,1,0,35,"8/11/1971","Vincenzo","Santopadre","ITA","ITA","EU",7,3.12775251583297,205,2.75319183451524,7,0.7,49,0.49,2.55688539072405,3.04739898701477
"119",445,20,101962,1241,"2/14/2000",2000,2,1,29,"9/12/1971","Younes","El Aynaoui","MAR","MAR","AF",14,1.30102999566398,1256,2.65461906279284,1,0.1,1,0.01,2.06794221450495,1.54706694661129
"120",446,49,101962,738,"8/27/2001",2001,8,1,30,"9/12/1971","Younes","El Aynaoui","MAR","MAR","AF",14,1.69019608002851,989,2.64767086582772,2,0.2,4,0.04,2.06794221450495,1.57131538552806
"121",447,20,101962,1390,"8/12/2002",2002,8,1,31,"9/12/1971","Younes","El Aynaoui","MAR","MAR","AF",14,1.30102999566398,757,2.63472150560954,3,0.3,9,0.09,2.06794221450495,1.61732744139449
"122",448,21,101962,1470,"2/17/2003",2003,2,1,32,"9/12/1971","Younes","El Aynaoui","MAR","MAR","AF",14,1.32221929473392,564,2.65066108042934,4,0.4,16,0.16,2.06794221450495,1.68510311421059
"123",449,56,101962,690,"7/12/2004",2004,7,1,33,"9/12/1971","Younes","El Aynaoui","MAR","MAR","AF",14,1.7481880270062,428,2.68458119667634,5,0.5,25,0.25,2.06794221450495,1.77464240397636
"124",450,471,101962,54,"6/27/2005",2005,6,1,34,"9/12/1971","Younes","El Aynaoui","MAR","MAR","AF",14,2.6730209071289,293,2.71013733597808,6,0.6,36,0.36,2.06794221450495,1.88594531069179
"125",451,183,101962,213,"3/13/2006",2006,3,1,35,"9/12/1971","Younes","El Aynaoui","MAR","MAR","AF",14,2.26245108973043,205,2.75319183451524,7,0.7,49,0.49,2.06794221450495,2.0190118343569
"126",452,166,101962,260,"10/1/2007",2007,10,1,36,"9/12/1971","Younes","El Aynaoui","MAR","MAR","AF",14,2.22010808804005,129,2.76286169712753,8,0.8,64,0.64,2.06794221450495,2.17384197497167
"127",453,190,101962,219,"3/17/2008",2008,3,1,37,"9/12/1971","Younes","El Aynaoui","MAR","MAR","AF",14,2.27875360095283,82,2.80268707994552,9,0.9,81,0.81,2.06794221450495,2.3504357325361
"128",454,199,101962,420,"1/12/2009",2009,1,1,38,"9/12/1971","Younes","El Aynaoui","MAR","MAR","AF",14,2.29885307640971,46,2.8876776209483,10,1,100,1,2.06794221450495,2.54879310705021
"129",455,729,101962,20,"9/13/2010",2010,9,1,39,"9/12/1971","Younes","El Aynaoui","MAR","MAR","AF",14,2.86272752831797,26,2.95604750677089,11,1.1,121,1.21,2.06794221450495,2.76891409851398
